alpha_deg,P_inf,P_0,P
0,15.4,23.0,23.0
5,15.4,23.1,22.7
10,15.4,23.1,22.3
15,15.4,23.2,21.3
20,15.3,23.1,19.9
25,15.4,23.1,18.6
30,15.4,23.2,16.9
35,15.4,23.1,15.0
40,15.4,23.1,13.1
45,15.4,23.1,11.2
50,15.3,23.1,9.4
55,15.3,23.1,8.4
60,15.4,23.1,7.4
65,15.4,23.1,7.0
70,15.4,23.2,6.9
75,15.4,23.2,7.6
80,15.4,23.2,7.8
85,15.4,23.1,8.0
90,15.4,23.1,8.1
95,15.4,23.1,8.3
100,15.4,23.2,8.3
105,15.4,23.1,8.2
110,15.4,23.1,8.1
115,15.4,23.1,8.1
120,15.4,23.1,8.1
125,15.4,23.1,7.9
130,15.4,23.1,7.8
135,15.4,23.1,7.8
140,15.4,23.1,7.7
145,15.4,23.1,7.6
150,15.4,23.1,7.7
155,15.4,23.1,7.8
160,15.4,23.0,8.0
165,15.4,23.1,8.0
170,15.4,23.1,8.2
175,15.4,23.1,8.2
180,15.4,23.1,8.2
