theta_deg,P-P_inf_Pa,Cp,P_Pa
0.0,744.069,1.0000,101644.069
5.0,714.698,0.9481,101614.698
10.0,675.536,0.8961,101575.536
15.0,577.632,0.7564,101477.632
20.0,450.357,0.5897,101350.357
25.0,313.292,0.4156,101213.292
30.0,146.856,0.1923,101046.856
35.0,-39.162,-0.0519,100860.838
40.0,-225.179,-0.2987,100674.821
45.0,-411.196,-0.5455,100488.804
50.0,-577.632,-0.7564,100322.368
55.0,-675.536,-0.8846,100224.464
60.0,-783.230,-1.0390,100116.770
65.0,-822.392,-1.0909,100077.608
70.0,-832.182,-1.0897,100067.818
75.0,-763.650,-1.0000,100136.350
80.0,-744.069,-0.9744,100155.931
85.0,-724.488,-0.9610,100175.512
90.0,-714.698,-0.9481,100185.302
95.0,-695.117,-0.9221,100204.883
100.0,-695.117,-0.9103,100204.883
105.0,-704.907,-0.9351,100195.093
110.0,-714.698,-0.9481,100185.302
115.0,-714.698,-0.9481,100185.302
120.0,-714.698,-0.9481,100185.302
125.0,-734.279,-0.9740,100165.721
130.0,-744.069,-0.9870,100155.931
135.0,-744.069,-0.9870,100155.931
140.0,-753.859,-1.0000,100146.141
145.0,-763.650,-1.0130,100136.350
150.0,-753.859,-1.0000,100146.141
155.0,-744.069,-0.9870,100155.931
160.0,-724.488,-0.9737,100175.512
165.0,-724.488,-0.9610,100175.512
170.0,-704.907,-0.9351,100195.093
175.0,-704.907,-0.9351,100195.093
180.0,-704.907,-0.9351,100195.093
